Taxonomy	Last.taxonomic.level	Species.found.in.Metatranscriptomic.dataset.(Monjot.et.al.2023)	Trophic.modes	Type_1	Type_2	Description_of_mixotrophy	Description_of_endophytic_interaction	Description_of_biotic_interaction_and_pathology	Host.symbiont	References_1	References_2	References_3	References_4	Retained_in_the_analysis
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Pythiales/f_Pythiaceae/g_Globisporangium	Globisporangium	Globisporangium ultimum	PARA	Facultative	Endophyte		Necrotrophic		Phytopathogen	https://doi.org/10.3390/pathogens10070807	https://doi.org/10.1094/pdis-07-12-0625-pdn	https://doi.org/10.3390/pathogens10070807		Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Pythiales/f_Pythiaceae/g_Phytopythium	Phytopythium	Phytopythium helicoides + Phytopythium vexans	PARA	Facultative	Endophyte		Necrotrophic		Phytopathogen	https://doi.org/10.1094/pdis-08-20-1798-pdn	https://doi.org/10.3390/pathogens10070807			Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Pythiales/f_Pythiaceae/g_Pythium	Pythium	Pythium aphanidermatum + Pythium insidiosum + Pythium irregulare	PARA	Facultative	Endophyte		Necrotrophic		Phytopathogen	https://doi.org/10.3390/pathogens10070807				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Saprolegniales/f_Saprolegniaceae/g_	Saprolegniaceae		PARA	Obligate					Multiple					Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Saprolegniales/f_Saprolegniaceae/g_Achlya	Achlya	Achlya bisexualis + Achlya hypogyna	PARA	Facultative					"Fish, Plant"	https://doi.org/10.1080/12298093.2018.1551855				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Saprolegniales/f_Saprolegniaceae/g_Aphanomyces	Aphanomyces	Aphanomyces astaci + Aphanomyces euteiches + Aphanomyces invadans	PARA	Obligate					"Fish, Crayfish, Plant"	https://doi.org/10.1128/AEM.72.2.1551-1557.2006				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Saprolegniales/f_Saprolegniaceae/g_Saprolegnia	Saprolegnia	Saprolegnia diclina + Saprolegnia ferax + Saprolegnia parasitica	PARA	Facultative					Fish	https://doi.org/10.1016/j.fbr.2013.05.001				Yes
Eukaryota/d_Stramenopiles/p_/c_Oomycetes/o_Saprolegniales/f_Saprolegniaceae/g_Thraustotheca	Thraustotheca	Thraustotheca clavata	SAP							https://doi.org/10.3390/pathogens10070807				Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_/f_/g_	Pelagophyceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Pelagomonadales/f_/g_	Pelagomonadales		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Pelagomonadales/f_/g_Aureococcus	Aureococcus	Aureococcus anophagefferens	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Pelagomonadales/f_/g_Aureoumbra	Aureoumbra	Aureoumbra lagunensis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Pelagomonadales/f_/g_Pelagococcus	Pelagococcus	Pelagococcus subviridis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Pelagomonadales/f_/g_Pelagomonas	Pelagomonas	Pelagomonas calceolata	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Sarcinochrysidales/f_/g_	Sarcinochrysidales		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Sarcinochrysidales/f_Chrysocystaceae/g_	Chrysocystaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Sarcinochrysidales/f_Chrysocystaceae/g_Chrysocystis	Chrysocystis	Chrysocystis fragilis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Sarcinochrysidales/f_Chrysocystaceae/g_Chrysoreinhardia	Chrysoreinhardia		PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Pelagophyceae/o_Sarcinochrysidales/f_Sarcinochrysidaceae/g_Sarcinochrysis	Sarcinochrysis		PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_/f_/g_	Phaeophyceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Dictyotales/f_Dictyotaceae/g_Dictyota	Dictyota	Dictyota dichotoma	Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Ectocarpales/f_/g_	Ectocarpales		Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Ectocarpales/f_Acinetosporaceae/g_Pylaiella	Pylaiella	Pylaiella littoralis	Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Ectocarpales/f_Ectocarpaceae/g_Ectocarpus	Ectocarpus	Ectocarpus siliculosus	Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Ectocarpales/f_Ishigeaceae/g_Ishige	Ishige	Ishige okamurae	Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Ectocarpales/f_Scytosiphonaceae/g_Scytosiphon	Scytosiphon	Scytosiphon dotyi	Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Fucales/f_Sargassaceae/g_Coccophora	Coccophora	Coccophora langsdorfii	Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Laminariales/f_Laminariaceae/g_Laminaria	Laminaria	Laminaria digitata	Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Phaeophyceae/o_Laminariales/f_Laminariaceae/g_Saccharina	Saccharina	Saccharina japonica	Pluri- or multi-cellular											No
Eukaryota/d_Stramenopiles/p_/c_Pinguiophyceae/o_Pinguiochrysidales/f_Pinguiochrysidaceae/g_	Pinguiochrysidaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Pinguiophyceae/o_Pinguiochrysidales/f_Pinguiochrysidaceae/g_Phaeomonas	Phaeomonas	Phaeomonas parva	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Pinguiophyceae/o_Pinguiochrysidales/f_Pinguiochrysidaceae/g_Pinguiococcus	Pinguiococcus	Pinguiococcus pyrenoidosus	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Raphidophyceae/o_Chattonellales/f_Chattonellaceae/g_	Chattonellaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Raphidophyceae/o_Chattonellales/f_Chattonellaceae/g_Chattonella	Chattonella	Chattonella subsalsa	MIXO	CM		uptake of Synechococcus				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Stramenopiles/p_/c_Raphidophyceae/o_Chattonellales/f_Chattonellaceae/g_Fibrocapsa	Fibrocapsa	Fibrocapsa japonica	MIXO	CM		ingestion of Synechoccocus				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Stramenopiles/p_/c_Raphidophyceae/o_Chattonellales/f_Chattonellaceae/g_Heterosigma	Heterosigma	Heterosigma akashiwo	MIXO	CM		uptake of eubacteria				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Stramenopiles/p_/c_Synchromophyceae/o_/f_/g_Synchroma	Synchroma	Synchroma pusillum	MIXO	CM		"(S. grande: Singestion of Phaeodactylum tricornutum. Reticulopodia of neighboring cells fused and formed a meroplasmodium (Grell et al. 1990) that was able to catch and incorporate other organisms, e.g. bacteria and diatoms. Engulfed organisms or particles were observed to be digested in all parts of the plasmodial network)"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Stramenopiles/p_/c_Synurophyceae/o_Synurales/f_Mallomonadaceae/g_	Mallomonadaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Synurophyceae/o_Synurales/f_Mallomonadaceae/g_Mallomonas	Mallomonas	Mallomonas rasilis + Mallomonas sp. BC-2016 + Mallomonas splendens	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Synurophyceae/o_Synurales/f_Mallomonadaceae/g_Synura	Synura	Synura petersenii + Synura synuroidea	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Synurophyceae/o_Synurales/f_Synuraceae/g_Tessellaria	Tessellaria	Tessellaria volvocina	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Xanthophyceae/o_/f_/g_	Xanthophyceae		NA											Yes
Eukaryota/d_Stramenopiles/p_/c_Xanthophyceae/o_Botrydiales/f_Botrydiaceae/g_Botrydium	Botrydium	Botrydium granulatum	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_/c_Xanthophyceae/o_Vaucheriales/f_Vaucheriaceae/g_Vaucheria	Vaucheria	Vaucheria litorea	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_/o_/f_/g_	Bacillariophyta		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_/f_/g_	Bacillariophyceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_/f_Entomoneidaceae/g_Entomoneis	Entomoneis	Entomoneis sp.	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Bacillariales/f_Bacillariaceae/g_	Bacillariaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Bacillariales/f_Bacillariaceae/g_Cylindrotheca	Cylindrotheca	Cylindrotheca closterium + Cylindrotheca fusiformis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Bacillariales/f_Bacillariaceae/g_Fragilariopsis	Fragilariopsis	Fragilariopsis cylindrus + Fragilariopsis kerguelensis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Bacillariales/f_Bacillariaceae/g_Nitzschia	Nitzschia	Nitzschia alba	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Bacillariales/f_Bacillariaceae/g_Pseudo-nitzschia	Pseudo-nitzschia	Pseudo-nitzschia arenysensis + Pseudo-nitzschia australis + Pseudo-nitzschia delicatissima + Pseudo-nitzschia fraudulenta + Pseudo-nitzschia heimii + Pseudo-nitzschia pungens	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Bacillariales/f_Bacillariaceae/g_Tryblionella	Tryblionella	Tryblionella compressa	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Cymbellales/f_Gomphonemataceae/g_Didymosphenia	Didymosphenia	Didymosphenia geminata	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Eunotiales/f_Eunotiaceae/g_Eunotia	Eunotia	Eunotia naegelii	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Naviculales/f_/g_	Naviculales		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Naviculales/f_Amphipleuraceae/g_Amphiprora	Amphiprora	Amphiprora paludosa	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Naviculales/f_Amphipleuraceae/g_Halamphora	Halamphora	Halamphora calidilacuna	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Naviculales/f_Naviculaceae/g_	Naviculaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Naviculales/f_Naviculaceae/g_Craspedostauros	Craspedostauros	Craspedostauros australis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Naviculales/f_Naviculaceae/g_Fistulifera	Fistulifera	Fistulifera solaris	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Naviculales/f_Phaeodactylaceae/g_Phaeodactylum	Phaeodactylum	Phaeodactylum tricornutum	PHOTO							https://doi.org/10.1111/ppl.13471				Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Naviculales/f_Stauroneidaceae/g_Stauroneis	Stauroneis	Stauroneis constricta	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Surirellales/f_Surirellaceae/g_Surirella	Surirella	Surirella sp.	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Bacillariophyceae/o_Thalassiophysales/f_Catenulaceae/g_Amphora	Amphora	Amphora coffeiformis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_/f_/g_	Coscinodiscophyceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_/f_Aulacoseiraceae/g_Aulacoseira	Aulacoseira	Aulacoseira subarctica	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Chaetocerotales/f_/g_	Chaetocerotales		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Chaetocerotales/f_Attheyaceae/g_Attheya	Attheya	Attheya septentrionalis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Chaetocerotales/f_Chaetocerotaceae/g_Chaetoceros	Chaetoceros	Chaetoceros affinis + Chaetoceros cf. neogracilis + Chaetoceros curvisetus + Chaetoceros debilis + Chaetoceros dichaeta + Chaetoceros neogracilis + Chaetoceros sp.	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Corethrales/f_Corethraceae/g_Corethron	Corethron	Corethron hystrix + Corethron pennatum	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Coscinodiscales/f_Coscinodiscaceae/g_Coscinodiscus	Coscinodiscus	Coscinodiscus wailesii	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Coscinodiscales/f_Hemidiscaceae/g_Actinocyclus	Actinocyclus	Actinocyclus subtilis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Leptocylindrales/f_Leptocylindraceae/g_Leptocylindrus	Leptocylindrus	Leptocylindrus aporus + Leptocylindrus danicus	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Melosirales/f_Stephanopyxidaceae/g_Stephanopyxis	Stephanopyxis	Stephanopyxis turris	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Rhizosoleniales/f_Rhizosoleniaceae/g_	Rhizosoleniaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Rhizosoleniales/f_Rhizosoleniaceae/g_Dactyliosolen	Dactyliosolen	Dactyliosolen fragilissimus	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Rhizosoleniales/f_Rhizosoleniaceae/g_Proboscia	Proboscia	Proboscia alata + Proboscia inermis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Rhizosoleniales/f_Rhizosoleniaceae/g_Rhizosolenia	Rhizosolenia	Rhizosolenia setigera	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Thalassiosirales/f_/g_	Thalassiosirales		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Thalassiosirales/f_Skeletonemataceae/g_Skeletonema	Skeletonema	Skeletonema costatum + Skeletonema dohrnii + Skeletonema grethae + Skeletonema japonicum + Skeletonema marinoi + Skeletonema menzelii	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Thalassiosirales/f_Stephanodiscaceae/g_Cyclotella	Cyclotella	Cyclotella pseudostelligera	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Thalassiosirales/f_Thalassiosiraceae/g_	Thalassiosiraceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Thalassiosirales/f_Thalassiosiraceae/g_Conticribra	Conticribra	Conticribra weissflogii	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Thalassiosirales/f_Thalassiosiraceae/g_Detonula	Detonula	Detonula confervacea	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Coscinodiscophyceae/o_Thalassiosirales/f_Thalassiosiraceae/g_Thalassiosira	Thalassiosira	Thalassiosira antarctica + Thalassiosira gravida + Thalassiosira minuscula + Thalassiosira oceanica + Thalassiosira pseudonana + Thalassiosira punctigera + Thalassiosira rotula	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_/f_/g_	Fragilariophyceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Cyclophorales/f_Cyclophoraceae/g_	Cyclophoraceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Cyclophorales/f_Cyclophoraceae/g_Astrosyne	Astrosyne	Astrosyne radiata	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Cyclophorales/f_Cyclophoraceae/g_Cyclophora	Cyclophora	Cyclophora tenuis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Fragilariales/f_/g_	Fragilariales		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Fragilariales/f_Fragilariaceae/g_	Fragilariaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Fragilariales/f_Fragilariaceae/g_Asterionella	Asterionella	Asterionella formosa	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Fragilariales/f_Fragilariaceae/g_Asterionellopsis	Asterionellopsis	Asterionellopsis glacialis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Fragilariales/f_Fragilariaceae/g_Fragilaria	Fragilaria	Fragilaria radians	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Fragilariales/f_Fragilariaceae/g_Grammonema	Grammonema	Grammonema cf. islandica	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Fragilariales/f_Fragilariaceae/g_Synedropsis	Synedropsis	Synedropsis cf. recta	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Fragilariales/f_Staurosiraceae/g_Staurosira	Staurosira		PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Licmophorales/f_Licmophoraceae/g_Licmophora	Licmophora	Licmophora paradoxa	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Licmophorales/f_Ulnariaceae/g_Ulnaria	Ulnaria	Ulnaria acus	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Rhabdonematales/f_Grammatophoraceae/g_Grammatophora	Grammatophora	Grammatophora oceanica	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Striatellales/f_Striatellaceae/g_Striatella	Striatella	Striatella unipunctata	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Thalassionemales/f_Thalassionemataceae/g_	Thalassionemataceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Thalassionemales/f_Thalassionemataceae/g_Thalassionema	Thalassionema	Thalassionema cf. pseudonitzschioides + Thalassionema frauenfeldii + Thalassionema nitzschioides	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Fragilariophyceae/o_Thalassionemales/f_Thalassionemataceae/g_Thalassiothrix	Thalassiothrix	Thalassiothrix antarctica	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_/f_/g_	Mediophyceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Cymatosirales/f_Cymatosiraceae/g_	Cymatosiraceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Cymatosirales/f_Cymatosiraceae/g_Extubocellulus	Extubocellulus	Extubocellulus spinifer	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Cymatosirales/f_Cymatosiraceae/g_Minutocellus	Minutocellus	Minutocellus polymorphus	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Eupodiscales/f_Eupodiscaceae/g_Odontella	Odontella	Odontella aurita	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Hemiaulales/f_Hemiaulaceae/g_Eucampia	Eucampia	Eucampia antarctica	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Lithodesmiales/f_Lithodesmiaceae/g_	Lithodesmiaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Lithodesmiales/f_Lithodesmiaceae/g_Ditylum	Ditylum	Ditylum brightwellii	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Lithodesmiales/f_Lithodesmiaceae/g_Helicotheca	Helicotheca	Helicotheca tamesis	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Triceratiales/f_Plagiogrammaceae/g_Psammoneis	Psammoneis	Psammoneis japonica	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Triceratiales/f_Triceratiaceae/g_	Triceratiaceae		NA											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Triceratiales/f_Triceratiaceae/g_Triceratium	Triceratium	Triceratium dubium	PHOTO											Yes
Eukaryota/d_Stramenopiles/p_Bacillariophyta/c_Mediophyceae/o_Triceratiales/f_Triceratiaceae/g_Trieres	Trieres	Trieres chinensis	PHOTO											Yes
Eukaryota/d_environmental samples/p_/c_/o_/f_/g_	environmental samples		NA											Yes
Eukaryota/d_unclassified eukaryotes/p_/c_/o_/f_/g_	unclassified eukaryotes		NA											Yes
Eukaryota/p_/c_/o_/f_/g_	Eukaryota		NA											Yes
Eukaryota/p_/c_/o_/f_Malawimonadidae/g_Malawimonas	Malawimonas	Malawimonas jakobiformis	HET											Yes
Eukaryota/p_/c_/o_Jakobida/f_/g_Moramonas	Moramonas	Moramonas marocensis	HET											Yes
Eukaryota/p_/c_/o_Jakobida/f_Andaluciidae/g_Andalucia	Andalucia	Andalucia godoyi	HET											Yes
Eukaryota/p_/c_/o_Jakobida/f_Stygiellidae/g_Stygiella	Stygiella	Stygiella incarcerata	HET											Yes
Eukaryota/p_/c_Glaucocystophyceae/o_/f_/g_	Glaucocystophyceae		NA											Yes
Eukaryota/p_/c_Glaucocystophyceae/o_/f_/g_Cyanoptyche	Cyanoptyche	Cyanoptyche gloeocystis	PHOTO											Yes
Eukaryota/p_/c_Glaucocystophyceae/o_/f_Cyanophoraceae/g_Cyanophora	Cyanophora	Cyanophora paradoxa	PHOTO											Yes
Eukaryota/p_/c_Glaucocystophyceae/o_Glaucocystales/f_Glaucocystaceae/g_Glaucocystis	Glaucocystis	Glaucocystis nostochinearum	PHOTO											Yes
Eukaryota/p_/c_Glaucocystophyceae/o_Gloeochaetales/f_Gloeochaetaceae/g_Gloeochaete	Gloeochaete	Gloeochaete wittrockiana	PHOTO											Yes
Eukaryota/p_/c_Katablepharidophyta/o_/f_/g_Roombia	Roombia	Roombia sp. NY0200	HET											Yes
Eukaryota/p_/c_Katablepharidophyta/o_/f_Katablepharidaceae/g_Leucocryptos	Leucocryptos	Leucocryptos marina	HET							https://doi.org/10.1016/S0932-4739(11)80001-5				Yes
Eukaryota/p_Chlorophyta/c_/o_/f_/g_	Chlorophyta		NA											Yes
Eukaryota/p_Chlorophyta/c_/o_/f_Pycnococcaceae/g_	Pycnococcaceae		NA											Yes
Eukaryota/p_Chlorophyta/c_/o_/f_Pycnococcaceae/g_Pycnococcus	Pycnococcus	Pycnococcus provasolii	PHOTO											Yes
Eukaryota/p_Chlorophyta/c_/o_Pyramimonadales/f_/g_	Pyramimonadales		NA											Yes
Eukaryota/p_Chlorophyta/c_/o_Pyramimonadales/f_Polyblepharidaceae/g_Polyblepharides	Polyblepharides	Polyblepharides amylifera	PHOTO							http://dx.doi.org/10.15666/aeer/1902_849866				Yes
Eukaryota/p_Chlorophyta/c_/o_Pyramimonadales/f_Pterospermataceae/g_Pterosperma	Pterosperma		MIXO	CM		(P. cristatum NIES626:  Bacterivory) + (In silico prediction)				https://doi.org/10.1038/s41396-021-00899-w				Yes
Eukaryota/p_Chlorophyta/c_/o_Pyramimonadales/f_Pyramimonadaceae/g_Cymbomonas	Cymbomonas	Cymbomonas tetramitiformis	MIXO	CM		Particle Ingestion				https://doi.org/10.5281/zenodo.7560582	https://doi.org/10.1093/gbe/evv144			Yes
